release_num,release_name,release_year,musician_name,musician_instruments
ECM 1000,not used,NA,NA,NA
ECM 1001,Mal Waldron Trio - Free At Last  ,1970,Mal Waldron,piano
ECM 1001,Mal Waldron Trio - Free At Last  ,1970,Isla Eckinger,bass
ECM 1001,Mal Waldron Trio - Free At Last  ,1970,Clarence Becton,drums
ECM 1002,Just Music  ,1970,Dieter Herrmann,trombone
ECM 1002,Just Music  ,1970,Alfred Harth,tenor sax
ECM 1002,Just Music  ,1970,Alfred Harth,clarinet
ECM 1002,Just Music  ,1970,Alfred Harth,bass clarinet
ECM 1002,Just Music  ,1970,Alfred Harth,trumpet
ECM 1002,Just Music  ,1970,Franz Volhard,cello
ECM 1002,Just Music  ,1970,Thomas Stowsand,cello
ECM 1002,Just Music  ,1970,Thomas Stowsand,flute
ECM 1002,Just Music  ,1970,Johannes Kramer,guitar
ECM 1002,Just Music  ,1970,Peter Stock,bass
ECM 1002,Just Music  ,1970,Thomas Cremer,percussion
ECM 1002,Just Music  ,1970,Thomas Cremer,clarinet
ECM 1003,Paul Bley With Gary Peacock  ,1970,Paul Bley,piano
ECM 1003,Paul Bley With Gary Peacock  ,1970,Gary Peacock,bass
ECM 1003,Paul Bley With Gary Peacock  ,1970,Paul Motian,drums
ECM 1004,Marion Brown - Afternoon Of A Georgia Faun  ,1970,Anthony Braxton,alto
ECM 1004,Marion Brown - Afternoon Of A Georgia Faun  ,1970,Anthony Braxton,soprano sax
ECM 1004,Marion Brown - Afternoon Of A Georgia Faun  ,1970,Anthony Braxton,clarinet
ECM 1004,Marion Brown - Afternoon Of A Georgia Faun  ,1970,Anthony Braxton,contrabass clarinet
ECM 1004,Marion Brown - Afternoon Of A Georgia Faun  ,1970,Anthony Braxton,Chinese musette
ECM 1004,Marion Brown - Afternoon Of A Georgia Faun  ,1970,Anthony Braxton,flute
ECM 1004,Marion Brown - Afternoon Of A Georgia Faun  ,1970,Anthony Braxton,percussion
ECM 1004,Marion Brown - Afternoon Of A Georgia Faun  ,1970,Marion Brown,alto sax
ECM 1004,Marion Brown - Afternoon Of A Georgia Faun  ,1970,Marion Brown,zomari
ECM 1004,Marion Brown - Afternoon Of A Georgia Faun  ,1970,Marion Brown,percussion
ECM 1004,Marion Brown - Afternoon Of A Georgia Faun  ,1970,Bennie Maupin,tenor sax
ECM 1004,Marion Brown - Afternoon Of A Georgia Faun  ,1970,Bennie Maupin,alto flute
ECM 1004,Marion Brown - Afternoon Of A Georgia Faun  ,1970,Bennie Maupin,bass clarinet
ECM 1004,Marion Brown - Afternoon Of A Georgia Faun  ,1970,Bennie Maupin,acorn
ECM 1004,Marion Brown - Afternoon Of A Georgia Faun  ,1970,Bennie Maupin,bells
ECM 1004,Marion Brown - Afternoon Of A Georgia Faun  ,1970,Bennie Maupin,wooden flute
ECM 1004,Marion Brown - Afternoon Of A Georgia Faun  ,1970,Bennie Maupin,percussion
ECM 1004,Marion Brown - Afternoon Of A Georgia Faun  ,1970,Chick Corea,piano
ECM 1004,Marion Brown - Afternoon Of A Georgia Faun  ,1970,Chick Corea,bells
ECM 1004,Marion Brown - Afternoon Of A Georgia Faun  ,1970,Chick Corea,gong
ECM 1004,Marion Brown - Afternoon Of A Georgia Faun  ,1970,Chick Corea,percussion
ECM 1004,Marion Brown - Afternoon Of A Georgia Faun  ,1970,Jack Gregg,bass
ECM 1004,Marion Brown - Afternoon Of A Georgia Faun  ,1970,Jack Gregg,percussion
ECM 1004,Marion Brown - Afternoon Of A Georgia Faun  ,1970,Billy Malone,African drums
ECM 1004,Marion Brown - Afternoon Of A Georgia Faun  ,1970,Andrew Cyrille,percussion
ECM 1004,Marion Brown - Afternoon Of A Georgia Faun  ,1970,Larry Curtis,percussion
ECM 1004,Marion Brown - Afternoon Of A Georgia Faun  ,1970,William Green,top o' lin
ECM 1004,Marion Brown - Afternoon Of A Georgia Faun  ,1970,William Green,percussion
ECM 1004,Marion Brown - Afternoon Of A Georgia Faun  ,1970,Gayle Palmore,voice
ECM 1004,Marion Brown - Afternoon Of A Georgia Faun  ,1970,Gayle Palmore,piano
ECM 1004,Marion Brown - Afternoon Of A Georgia Faun  ,1970,Gayle Palmore,percussion
ECM 1004,Marion Brown - Afternoon Of A Georgia Faun  ,1970,Jeanne Lee,voice
ECM 1004,Marion Brown - Afternoon Of A Georgia Faun  ,1970,Jeanne Lee,percussion
ECM 1005,"Derek Bailey, Evan Parker, Hugh Davies, Jamie Muir, Christine Jeffrey - The Music Improvisation Company  ",1970,Evan Parker,soprano sax
ECM 1005,"Derek Bailey, Evan Parker, Hugh Davies, Jamie Muir, Christine Jeffrey - The Music Improvisation Company  ",1970,Hugh Davies,live electronics
ECM 1005,"Derek Bailey, Evan Parker, Hugh Davies, Jamie Muir, Christine Jeffrey - The Music Improvisation Company  ",1970,Derek Bailey,electric guitar
ECM 1005,"Derek Bailey, Evan Parker, Hugh Davies, Jamie Muir, Christine Jeffrey - The Music Improvisation Company  ",1970,Jamie Muir,percussion
ECM 1005,"Derek Bailey, Evan Parker, Hugh Davies, Jamie Muir, Christine Jeffrey - The Music Improvisation Company  ",1970,Christine Jeffrey,voice
ECM 1006,Wolfgang Dauner - Output  ,1970,Wolfgang Dauner,piano
ECM 1006,Wolfgang Dauner - Output  ,1970,Wolfgang Dauner,Ringmodulator
ECM 1006,Wolfgang Dauner - Output  ,1970,Wolfgang Dauner,Hohner Electra piano
ECM 1006,Wolfgang Dauner - Output  ,1970,Wolfgang Dauner,Clavinet C
ECM 1006,Wolfgang Dauner - Output  ,1970,Eberhard Weber,bass
ECM 1006,Wolfgang Dauner - Output  ,1970,Eberhard Weber,cello
ECM 1006,Wolfgang Dauner - Output  ,1970,Eberhard Weber,guitar
ECM 1006,Wolfgang Dauner - Output  ,1970,Fred Braceful,percussion
ECM 1006,Wolfgang Dauner - Output  ,1970,Fred Braceful,voice
ECM 1007,Jan Garbarek Quartet - Afric Pepperbird  ,1970,Jan Garbarek,tenor
ECM 1007,Jan Garbarek Quartet - Afric Pepperbird  ,1970,Jan Garbarek,bass sax
ECM 1007,Jan Garbarek Quartet - Afric Pepperbird  ,1970,Jan Garbarek,clarinet
ECM 1007,Jan Garbarek Quartet - Afric Pepperbird  ,1970,Jan Garbarek,flute
ECM 1007,Jan Garbarek Quartet - Afric Pepperbird  ,1970,Jan Garbarek,percussion
ECM 1007,Jan Garbarek Quartet - Afric Pepperbird  ,1970,Terje Rypdal,guitar
ECM 1007,Jan Garbarek Quartet - Afric Pepperbird  ,1970,Terje Rypdal,bugle
ECM 1007,Jan Garbarek Quartet - Afric Pepperbird  ,1970,Arild Andersen,bass
ECM 1007,Jan Garbarek Quartet - Afric Pepperbird  ,1970,Arild Andersen,African thumb piano
ECM 1007,Jan Garbarek Quartet - Afric Pepperbird  ,1970,Arild Andersen,xylophone
ECM 1007,Jan Garbarek Quartet - Afric Pepperbird  ,1970,Jon Christensen,percussion
ECM 1008,Robin Kenyatta - Girl From Martinique  ,1970,Robin Kenyatta,flute
ECM 1008,Robin Kenyatta - Girl From Martinique  ,1970,Robin Kenyatta,alto sax
ECM 1008,Robin Kenyatta - Girl From Martinique  ,1970,Robin Kenyatta,percussion
ECM 1008,Robin Kenyatta - Girl From Martinique  ,1970,Hohner Clavinet,piano
ECM 1008,Robin Kenyatta - Girl From Martinique  ,1970,Wolfgang Dauner,piano
ECM 1008,Robin Kenyatta - Girl From Martinique  ,1970,Arild Andersen,bass
ECM 1008,Robin Kenyatta - Girl From Martinique  ,1970,Fred Braceful,drums
ECM 1009,"Chick Corea, David Holland, Barry Altschul - A.R.C.  ",1971,Chick Corea,piano
ECM 1009,"Chick Corea, David Holland, Barry Altschul - A.R.C.  ",1971,David Holland,bass
ECM 1009,"Chick Corea, David Holland, Barry Altschul - A.R.C.  ",1971,Barry Altschul,percussion
ECM 1010,Paul Bley - Ballads  ,1971,Paul Bley,piano
ECM 1010,Paul Bley - Ballads  ,1971,Mark Levinson,bass
ECM 1010,Paul Bley - Ballads  ,1971,Barry Altschul,drums
ECM 1011,"David Holland, Barre Phillips - Music From Two Basses  ",1971,Barre Phillips,bass
ECM 1011,"David Holland, Barre Phillips - Music From Two Basses  ",1971,David Holland,bass
ECM 1011,"David Holland, Barre Phillips - Music From Two Basses  ",1971,David Holland,cello
ECM 1012,"Bobo Stenson, Arild Andersen, Jon Christensen - Underwear  ",1971,Bobo Stenson,piano
ECM 1012,"Bobo Stenson, Arild Andersen, Jon Christensen - Underwear  ",1971,Arild Andersen,bass
ECM 1012,"Bobo Stenson, Arild Andersen, Jon Christensen - Underwear  ",1971,Jon Christensen,percussion
ECM 1013,"David Holland, Derek Bailey - Improvisations For Cello And Guitar  ",1971,Derek Bailey,guitar
ECM 1013,"David Holland, Derek Bailey - Improvisations For Cello And Guitar  ",1971,David Holland,cello
ECM 1014,"Chick Corea - Piano Improvisations, Vol. 1  ",1971,Chick Corea,piano
ECM 1015,"Jan Garbarek, Bobo Stenson, Terje Rypdal, Arild Andersen, Jon Christensen - Sart  ",1971,Jan Garbarek,tenor
ECM 1015,"Jan Garbarek, Bobo Stenson, Terje Rypdal, Arild Andersen, Jon Christensen - Sart  ",1971,Jan Garbarek,bass sax
ECM 1015,"Jan Garbarek, Bobo Stenson, Terje Rypdal, Arild Andersen, Jon Christensen - Sart  ",1971,Jan Garbarek,flute
ECM 1015,"Jan Garbarek, Bobo Stenson, Terje Rypdal, Arild Andersen, Jon Christensen - Sart  ",1971,Bobo Stenson,piano
ECM 1015,"Jan Garbarek, Bobo Stenson, Terje Rypdal, Arild Andersen, Jon Christensen - Sart  ",1971,Bobo Stenson,electric piano
ECM 1015,"Jan Garbarek, Bobo Stenson, Terje Rypdal, Arild Andersen, Jon Christensen - Sart  ",1971,Terje Rypdal,guitar
ECM 1015,"Jan Garbarek, Bobo Stenson, Terje Rypdal, Arild Andersen, Jon Christensen - Sart  ",1971,Arild Andersen,bass
ECM 1015,"Jan Garbarek, Bobo Stenson, Terje Rypdal, Arild Andersen, Jon Christensen - Sart  ",1971,Jon Christensen,percussion
ECM 1016,Terje Rypdal  ,1971,Ekkehard Fintl,oboe
ECM 1016,Terje Rypdal  ,1971,Ekkehard Fintl,English horn
ECM 1016,Terje Rypdal  ,1971,Jan Garbarek,tenor sax
ECM 1016,Terje Rypdal  ,1971,Jan Garbarek,flute
ECM 1016,Terje Rypdal  ,1971,Jan Garbarek,clarinet
