id,name,city_id
1,Watts Towers Campus - Watts Towers,19502
2,Channel Islands National Park,8443
3,Vision Theatre,16596
4,Channel Islands National Park,16423
5,Center for the Arts Eagle Rock,10307
6,Isle Royale National Park,4129
7,Los Angeles Theatre Center,3534
8,Barnsdall Gallery Theatre,2794
9,Rocky Mountain National Park,16630
10,Arches National Park,10661
11,Watts Towers Campus - Dr. Joseph and Bootsie Howard Gallery,21781
12,Denali National Park and Preserve,14297
13,Badlands National Park,19611
14,Los Angeles Theatre Center,11129
15,William Grant Still Art Center,9594
16,Wrangell - St Elias National Park and Preserve,8157
17,Saguaro National Park,20852
18,Pinnacles National Park,10421
19,Lankershim Arts Center,12208
20,Saguaro National Park,7668
21,Watts Towers Campus - Watts Towers,6745
22,William Reagh - LA Photography Center,2528
23,Manchester Youth Arts Center,1539
24,Dry Tortugas National Park,2191
25,Lassen Volcanic National Park,18541
26,Everglades National Park,2529
27,Shenandoah National Park,9786
28,Rocky Mountain National Park,20714
29,Watts Towers Campus - Watts Towers Arts Center,17737
30,Barnsdall Junior Arts Center Gallery,9337
31,Barnsdall Art Center,4158
32,Sequoia and Kings Canyon National Parks,9885
33,Crater Lake National Park,4616
34,Center for the Arts Eagle Rock,19170
35,Isle Royale National Park,18864
36,Barnsdall Junior Arts Center,14110
37,Redwood National Park,15343
38,Watts Towers Campus - Noah Purifoy Gallery,13484
39,Arches National Park,18082
40,Everglades National Park,14781
41,Yellowstone National Park,15510
42,Isle Royale National Park,18453
43,Wrangell - St Elias National Park and Preserve,606
44,Denali National Park and Preserve,15054
45,Zion National Park,18408
46,Theodore Roosevelt National Park,6575
47,Channel Islands National Park,7965
48,Vision Theatre,19175
49,Barnsdall Art Center,8077
50,Los Angeles Municipal Art Gallery,13543
51,Los Angeles Municipal Art Gallery,3191
52,Kobuk Valley National Park,4692
53,William Grant Still Art Center,15759
54,Wrangell - St Elias National Park and Preserve,17305
55,Kenai Fjords National Park,14426
56,Grand Canyon National Park,14351
57,Bryce Canyon National Park,16382
58,Canyonlands National Park,1948
59,McGroarty Arts Center,21506
60,Wrangell - St Elias National Park and Preserve,2067
61,Kobuk Valley National Park,5227
62,Cuyahoga Valley National Park,9311
63,Rocky Mountain National Park,9626
64,Bryce Canyon National Park,4792
65,Warner Grand Theatre,21875
66,Barnsdall Junior Arts Center Gallery,1796
67,Barnsdall Gallery Theatre,15464
68,Joshua Tree National Park,15777
69,Black Canyon of the Gunnison National Park,2172
70,Hollyhock House,13998
71,North Cascades National Park,10407
72,Watts Towers Campus - Charles Mingus Youth Arts Center,14844
73,Dry Tortugas National Park,448
74,Pinnacles National Park,5637
75,Guadalupe Mountains National Park,21430
76,Denali National Park and Preserve,8840
77,Congaree National Park,3615
78,Guadalupe Mountains National Park,20180
79,Mount Rainier National Park,4237
80,Pinnacles National Park,10328
81,Bryce Canyon National Park,19295
82,Canoga Park Youth Arts Center,18764
83,Encino Arts and Cultural Center,9695
84,Badlands National Park,12556
85,Badlands National Park,10781
86,Warner Grand Theatre,15270
87,Hawaii Volcanoes National Park,15039
88,Sequoia and Kings Canyon National Parks,10435
89,Grand Canyon National Park,10551
90,Bridge Gallery at City Hall,9646
91,Banning's Landing Community Arts Center,2799
92,Zion National Park,16975
93,Everglades National Park,15761
94,North Cascades National Park,11809
95,Guadalupe Mountains National Park,5406
96,Redwood National Park,21347
97,Encino Arts and Cultural Center,14571
98,Voyageurs National Park,13355
99,Guadalupe Mountains National Park,6391
100,Lincoln Heights Youth Arts Center,21859
101,William Grant Still Art Center,18077
102,Channel Islands National Park,3240
103,Sun Valley Youth Arts Center,17193
104,Wind Cave National Park,8233
105,Banning's Landing Community Arts Center,14629
106,Everglades National Park,9687
107,Saguaro National Park,3589
108,Lincoln Heights Youth Arts Center,20642
109,Dry Tortugas National Park,4009
110,Barnsdall Junior Arts Center Gallery,16980
111,Big Bend National Park,12043
112,Hollyhock House,20320
113,Great Basin National Park,2219
114,Rocky Mountain National Park,8411
115,Congaree National Park,1519
116,Great Sand Dunes National Park and Preserve,3655
117,Yosemite National Park,9283
118,Canyonlands National Park,6020
119,Petrified Forest National Park,8472
120,Badlands National Park,11204
121,Los Angeles Theatre Center,4423
122,Great Sand Dunes National Park and Preserve,1032
123,Lincoln Heights Youth Arts Center,140
124,Kobuk Valley National Park,18347
125,Hot Springs National Park,17428
126,Lake Clark National Park and Preserve,15405
127,Hawaii Volcanoes National Park,10625
128,Hawaii Volcanoes National Park,5231
129,Vision Theatre,10741
130,Everglades National Park,15275
131,Dry Tortugas National Park,5814
132,Mount Rainier National Park,20027
133,Mammoth Cave National Park,516
134,Warner Grand Theatre,1997
135,Los Angeles Municipal Art Gallery,4477
136,Center for the Arts Eagle Rock,9937
137,Zion National Park,8007
138,Zion National Park,4472
139,Guadalupe Mountains National Park,15303
140,Barnsdall Art Center,19641
141,Great Smoky Mountains National Park,16490
142,Theodore Roosevelt National Park,8132
143,Mesa Verde National Park,21606
144,Haleakala National Park,16016
145,Shenandoah National Park,21172
146,Saguaro National Park,16475
147,Biscayne National Park,5722
148,Sun Valley Youth Arts Center,19960
149,Kobuk Valley National Park,14826
150,Barnsdall Junior Arts Center,9929
151,Great Basin National Park,19821
152,Wrangell - St Elias National Park and Preserve,6768
153,Watts Towers Campus - Dr. Joseph and Bootsie Howard Gallery,16056
154,Badlands National Park,9286
155,Barnsdall Junior Arts Center Gallery,3597
156,Carlsbad Caverns National Park,11144
157,Everglades National Park,7332
158,Shenandoah National Park,12834
159,Pinnacles National Park,5028
160,Lake Clark National Park and Preserve,19781
161,Biscayne National Park,12135
162,Saguaro National Park,19325
163,Watts Towers Campus - Watts Towers,1953
164,Hot Springs National Park,1423
165,Arches National Park,14414
166,Watts Towers Campus - Charles Mingus Youth Arts Center,17854
167,Barnsdall Junior Arts Center Gallery,11974
168,Lassen Volcanic National Park,15971
169,Dry Tortugas National Park,1612
170,Theodore Roosevelt National Park,15783
171,Sequoia and Kings Canyon National Parks,10771
172,Saguaro National Park,12412
173,Zion National Park,7727
174,Isle Royale National Park,18454
175,Shenandoah National Park,5506
176,McGroarty Arts Center,18904
177,Bryce Canyon National Park,16011
178,Haleakala National Park,5871
179,Mount Rainier National Park,3258
180,Canoga Park Youth Arts Center,16096
181,Death Valley National Park,11525
182,Mammoth Cave National Park,3228
183,Channel Islands National Park,17873
184,Grand Canyon National Park,14889
185,Crater Lake National Park,3035
186,Nate Holden Performing Arts Center,3166
187,Hollyhock House,19431
188,Mammoth Cave National Park,11736
189,Watts Towers Campus - Watts Towers Arts Center,8505
190,Los Angeles Municipal Art Gallery,8588
191,Great Sand Dunes National Park and Preserve,3549
192,Rocky Mountain National Park,11357
193,Great Basin National Park,12497
194,Sequoia and Kings Canyon National Parks,445
195,Theodore Roosevelt National Park,19769
196,Wind Cave National Park,17565
197,Vision Theatre,17752
198,Cuyahoga Valley National Park,18542
199,Grand Canyon National Park,6054
200,Watts Towers Campus - Charles Mingus Youth Arts Center,18972
201,Yosemite National Park,13004
202,Mount Rainier National Park,614
203,Hawaii Volcanoes National Park,19382
204,Madrid Theatre,2214
205,Van Nuys World Airport,11843
206,Barnsdall Art Center,16681
207,Madrid Theatre,16696
208,Isle Royale National Park,1054
209,Vision Theatre,14570
210,Vision Theatre,6808
211,Hawaii Volcanoes National Park,14952
212,Cuyahoga Valley National Park,1311
213,Barnsdall Gallery Theatre,2470
214,Bryce Canyon National Park,9376
215,Arches National Park,12305
216,Kenai Fjords National Park,1539
217,Arches National Park,21664
218,Center for the Arts Eagle Rock,15546
219,Yosemite National Park,8801
220,Joshua Tree National Park,7584
221,Great Sand Dunes National Park and Preserve,5295
222,Wrangell - St Elias National Park and Preserve,4301
223,Great Basin National Park,7716
224,Glacier Bay National Park and Preserve,7405
225,Arches National Park,17255
226,Channel Islands National Park,18302
227,Los Angeles Municipal Art Gallery,21923
228,Pinnacles National Park,11120
229,Channel Islands National Park,5055
230,Crater Lake National Park,7045
231,Barnsdall Gallery Theatre,16015
232,Crater Lake National Park,9710
233,Gates Of The Arctic National Park and Preserve,15326
234,Petrified Forest National Park,19864
235,Theodore Roosevelt National Park,10335
236,Van Nuys World Airport,18998
237,Saguaro National Park,4168
238,Hollyhock House,7377
239,Great Sand Dunes National Park and Preserve,21558
240,Black Canyon of the Gunnison National Park,17026
241,Watts Towers Campus - Watts Towers Arts Center,19124
242,Great Sand Dunes National Park and Preserve,20377
243,Great Basin National Park,13301
244,Lincoln Heights Youth Arts Center,10251
245,Channel Islands National Park,15950
246,Haleakala National Park,18648
247,Barnsdall Art Center,11649
248,Biscayne National Park,3554
249,Great Smoky Mountains National Park,2178
250,Pinnacles National Park,14411
251,Vision Theatre,20844
252,Los Angeles Municipal Art Gallery,6171
253,Wind Cave National Park,10259
254,Glacier National Park,20443
255,Pinnacles National Park,13514
256,Madrid Theatre,17264
257,Barnsdall Art Center,18078
258,Sun Valley Youth Arts Center,14330
259,Barnsdall Junior Arts Center Gallery,4522
260,North Cascades National Park,501
261,Glacier National Park,19273
262,Bryce Canyon National Park,13690
263,Grand Teton National Park,21674
264,Lake Clark National Park and Preserve,15070
265,Manchester Youth Arts Center,14770
266,Banning's Landing Community Arts Center,3243
267,Kenai Fjords National Park,10477
268,Yosemite National Park,8425
269,Capitol Reef National Park,17850
270,Wind Cave National Park,4500
271,Channel Islands National Park,4140
272,Watts Towers Campus - Dr. Joseph and Bootsie Howard Gallery,12756
273,Joshua Tree National Park,10203
274,Olympic National Park,4322
275,Center for the Arts Eagle Rock,19124
276,Dry Tortugas National Park,7052
277,Arches National Park,9655
278,Yellowstone National Park,6858
279,Everglades National Park,774
280,Banning's Landing Community Arts Center,19694
281,Los Angeles Theatre Center,14881
282,Mount Rainier National Park,3835
283,Dry Tortugas National Park,6853
284,Mount Rainier National Park,777
285,Katmai National Park and Preserve,797
286,Guadalupe Mountains National Park,19883
287,Hot Springs National Park,13065
288,Barnsdall Junior Arts Center,7084
289,Everglades National Park,5108
290,Watts Towers Campus - Charles Mingus Youth Arts Center,17119
291,Watts Towers Campus - Dr. Joseph and Bootsie Howard Gallery,6170
292,Kobuk Valley National Park,8456
293,Great Smoky Mountains National Park,15788
294,Dry Tortugas National Park,9432
295,Great Smoky Mountains National Park,2935
296,Bryce Canyon National Park,5682
297,Great Basin National Park,20997
298,Glacier National Park,11652
299,Saguaro National Park,5769
300,Canoga Park Youth Arts Center,4834
301,Mount Rainier National Park,316
302,Lake Clark National Park and Preserve,9886
303,Voyageurs National Park,5351
304,Watts Towers Campus - Watts Towers,16542
305,Lassen Volcanic National Park,8540
306,Watts Towers Campus - Dr. Joseph and Bootsie Howard Gallery,1556
307,Haleakala National Park,11755
308,Pinnacles National Park,9834
309,Watts Towers Campus - Watts Towers,2165
310,Biscayne National Park,20502
311,Van Nuys World Airport,4921
312,Cuyahoga Valley National Park,13227
313,Petrified Forest National Park,2780
314,Dry Tortugas National Park,13022
315,Kenai Fjords National Park,9314
316,Wrangell - St Elias National Park and Preserve,14480
317,Zion National Park,467
318,Bryce Canyon National Park,4817
319,Barnsdall Gallery Theatre,18335
320,Lincoln Heights Youth Arts Center,10113
321,Mesa Verde National Park,7633
322,Great Basin National Park,8005
323,Wind Cave National Park,5172
324,Lincoln Heights Youth Arts Center,85
325,William Reagh - LA Photography Center,5161
326,McGroarty Arts Center,1699
327,Glacier Bay National Park and Preserve,15823
328,Redwood National Park,7177
329,Petrified Forest National Park,12214
330,Sequoia and Kings Canyon National Parks,21717
331,Everglades National Park,3929
332,Van Nuys World Airport,3178
333,Cuyahoga Valley National Park,21663
334,Great Basin National Park,4105
335,Carlsbad Caverns National Park,13539
336,Canoga Park Youth Arts Center,4089
337,Congaree National Park,21320
338,Barnsdall Junior Arts Center Gallery,18693
339,Lankershim Arts Center,8074
340,Olympic National Park,5493
341,Great Smoky Mountains National Park,1029
342,Badlands National Park,21324
343,Joshua Tree National Park,20907
344,Yosemite National Park,8463
345,Everglades National Park,5965
346,Sequoia and Kings Canyon National Parks,1475
347,Los Angeles Theatre Center,3242
348,Barnsdall Gallery Theatre,5084
349,Barnsdall Junior Arts Center Gallery,12631
350,Katmai National Park and Preserve,13906
351,Denali National Park and Preserve,3011
352,Sun Valley Youth Arts Center,21019
353,McGroarty Arts Center,16666
354,Glacier Bay National Park and Preserve,5603
355,Madrid Theatre,10420
356,Watts Towers Campus - Charles Mingus Youth Arts Center,7662
357,William Grant Still Art Center,21266
358,Mesa Verde National Park,15612
359,Katmai National Park and Preserve,14319
360,Cuyahoga Valley National Park,13756
361,Rocky Mountain National Park,19229
362,Warner Grand Theatre,11180
363,Channel Islands National Park,1578
364,Channel Islands National Park,288
365,Lincoln Heights Youth Arts Center,18421
366,William Grant Still Art Center,5085
367,Haleakala National Park,8327
368,Yellowstone National Park,4832
369,Hot Springs National Park,17726
370,Voyageurs National Park,15446
371,McGroarty Arts Center,5034
372,Arches National Park,9162
373,Hot Springs National Park,1568
374,Yellowstone National Park,16786
375,Lankershim Arts Center,16328
376,Big Bend National Park,2451
377,Mesa Verde National Park,9214
378,Petrified Forest National Park,10513
379,Gates Of The Arctic National Park and Preserve,20877
380,Olympic National Park,3531
381,Wrangell - St Elias National Park and Preserve,5852
382,Canoga Park Youth Arts Center,19463
383,Everglades National Park,14754
384,Grand Teton National Park,6898
385,Arches National Park,19662
386,Arches National Park,19233
387,Vision Theatre,7015
388,Encino Arts and Cultural Center,9464
389,Kobuk Valley National Park,12541
390,Pinnacles National Park,7635
391,Kobuk Valley National Park,17853
392,Sun Valley Youth Arts Center,302
393,Bridge Gallery at City Hall,6447
394,Biscayne National Park,5766
395,Saguaro National Park,14230
396,Channel Islands National Park,5008
397,Shenandoah National Park,2110
398,Watts Towers Campus - Watts Towers,4112
399,Watts Towers Campus - Charles Mingus Youth Arts Center,8831
400,Crater Lake National Park,17215
401,Cuyahoga Valley National Park,8187
402,Barnsdall Gallery Theatre,6266
403,Van Nuys World Airport,6464
404,Denali National Park and Preserve,4692
405,Grand Teton National Park,2542
406,Big Bend National Park,11673
407,Manchester Youth Arts Center,10685
408,Kobuk Valley National Park,14525
409,Van Nuys World Airport,9228
410,Kenai Fjords National Park,15548
411,Barnsdall Junior Arts Center Gallery,7738
412,Barnsdall Art Center,18080
413,Banning's Landing Community Arts Center,5035
414,Lincoln Heights Youth Arts Center,3012
415,Crater Lake National Park,5631
416,Los Angeles Municipal Art Gallery,14175
417,Madrid Theatre,8282
418,Wrangell - St Elias National Park and Preserve,7041
419,Denali National Park and Preserve,17318
420,Watts Towers Campus - Noah Purifoy Gallery,8211
421,Wrangell - St Elias National Park and Preserve,5153
422,Pinnacles National Park,9157
423,Hot Springs National Park,18421
424,Barnsdall Junior Arts Center,3586
425,Barnsdall Gallery Theatre,20928
426,Bridge Gallery at City Hall,19592
427,Hot Springs National Park,12590
428,Arches National Park,16369
429,Sun Valley Youth Arts Center,19891
430,Gates Of The Arctic National Park and Preserve,13847
431,Arches National Park,15042
432,Olympic National Park,13646
433,Redwood National Park,10710
434,Dry Tortugas National Park,18915
435,Redwood National Park,18209
436,Grand Canyon National Park,11089
