user_id,like,quantity,concert_id
15242,0,5,1
12038,0,4,1
14355,1,3,1
9382,0,5,1
4506,0,3,1
3144,1,5,1
2686,0,1,1
4510,1,6,1
10105,0,1,1
1800,1,1,1
18043,0,1,1
9675,1,2,1
11712,1,6,1
18564,0,1,1
6308,1,5,1
16252,0,1,1
7401,1,4,1
1243,0,2,1
4009,1,1,1
3177,1,1,1
18456,0,2,1
15571,1,2,1
2914,1,1,1
9827,0,2,1
10458,1,3,1
10435,0,5,1
294,0,1,1
2968,0,1,1
12515,1,2,1
18988,0,6,1
8182,0,1,1
6826,1,2,1
18350,0,1,1
9292,0,1,1
14026,0,1,1
11671,1,2,1
17086,0,2,1
5488,1,1,1
18825,0,1,1
2481,1,1,1
16375,0,4,1
10933,1,1,1
17976,0,3,1
19792,0,1,1
17115,1,2,1
6116,0,2,1
7911,1,5,1
3321,0,5,1
4553,1,1,1
15090,0,1,1
390,1,5,1
9207,1,1,1
6840,0,1,1
2364,0,6,1
5551,1,5,1
4894,1,4,1
14630,0,1,1
2000,1,1,1
12619,1,1,1
10582,0,1,1
974,1,1,1
940,1,1,1
11150,0,1,1
13130,0,2,1
2971,0,3,1
7333,0,1,1
15079,0,1,1
7224,0,1,1
7481,1,5,1
18907,1,3,1
4244,0,4,1
1993,1,2,1
8008,0,2,1
8443,0,1,1
16383,1,3,1
10534,1,3,1
13298,0,1,1
3044,1,4,1
2096,0,1,1
17638,1,1,1
3365,1,3,1
18135,1,1,1
3057,1,2,1
3716,0,3,1
15340,0,2,1
4776,0,1,1
881,0,6,1
9114,0,2,1
1991,1,1,1
6037,0,2,1
16395,0,1,1
7665,0,1,1
8234,1,1,1
18459,0,1,1
333,0,2,1
16091,1,1,1
17007,1,1,1
6516,1,2,1
16849,0,1,1
5080,0,5,1
10442,1,1,1
8448,0,1,1
16902,1,2,1
13724,0,3,1
7917,0,4,1
3873,0,6,1
2983,0,2,1
13284,0,1,1
2311,0,2,1
5781,0,3,1
17120,1,1,1
403,1,5,1
8555,1,1,1
11528,0,1,1
10115,1,2,1
4395,1,1,1
12943,1,5,1
3100,1,3,1
1108,1,5,1
19113,1,1,1
17185,1,1,1
3566,1,1,1
18007,1,2,1
18044,1,5,1
8663,0,6,1
13102,0,1,1
11503,1,1,1
4783,1,2,1
17926,1,5,1
3782,0,3,1
19902,1,1,1
14870,0,5,1
8949,1,1,1
10282,1,1,1
14125,0,5,1
8937,0,1,1
18954,1,1,1
19251,0,1,1
11377,0,3,1
2062,0,1,1
7140,1,2,1
9922,1,4,1
7595,1,5,1
1131,0,1,1
8642,0,5,1
14913,0,1,1
6497,1,1,1
8689,0,4,1
8944,0,1,1
14454,1,4,1
9627,1,1,1
